	id	ext_timestamp	zenith	azimuth
4	4	1451606580359551858	0.35828957	-1.1405908
16	16	1451607054850349219	0.10857349	-2.3719277
18	18	1451607102924468405	0.28427383	-1.2735432
21	21	1451607156811177399	0.017043909	-2.2117698
35	35	1451607591783554011	0.2959169	-0.8400794
40	40	1451607724868155330	0.271665	-1.6493131
51	51	1451608470240091337	0.6792995	-2.3885703
56	56	1451608548207516034	0.48980352	0.17013487
60	60	1451608727062055621	0.2242648	-1.0402964
77	77	1451609310676702098	0.29843324	-1.1221678
78	78	1451609322169579663	0.21197948	0.71747464
81	81	1451609379166856944	0.2316095	1.2537482
88	88	1451609585007858501	0.36458376	-2.7021854
89	89	1451609600319585918	0.36427382	2.3777986
115	115	1451610759771355496	0.38012844	-1.6509069
116	116	1451610808973946254	0.52328014	1.9840521
133	133	1451611472636761154	0.21052204	-0.69554424
140	140	1451611689781059660	0.4330659	-2.4030309
144	144	1451611836728512468	0.49729484	-1.7902414
158	158	1451612352908236640	0.26139018	-0.8595949
162	162	1451612620059324372	0.44277188	2.073707
173	173	1451613000412825183	0.41455534	1.8394848
182	182	1451613398352092978	0.6391314	-0.6391719
186	186	1451613610516619103	0.18710278	-0.56887203
192	192	1451613813447637084	0.631234	2.897904
197	197	1451613961332684794	0.106783986	-0.5789447
205	205	1451614297696653358	0.036206637	0.06177992
208	208	1451614359525797703	0.21185385	-0.78073025
210	210	1451614424187442672	0.035564546	-0.26295343
219	219	1451614770014763500	0.40265897	-1.4136952
224	224	1451614901528561636	0.26850286	0.020619076
225	225	1451614949346513743	0.31999385	1.7060605
226	226	1451614953600223638	0.48324564	-0.55660295
233	233	1451615194258417357	0.5230394	-0.18551445
234	234	1451615229987504094	0.36059102	-1.4251672
235	235	1451615340329417566	0.50317365	1.6685292
239	239	1451615411073776751	0.6874976	-2.732486
243	243	1451615561700183922	0.068762474	1.0615169
244	244	1451615626675003975	0.24434529	1.45775
249	249	1451615870455042640	0.6146926	0.6572718
271	271	1451616519432730617	0.3115477	-0.79457647
276	276	1451616744145838777	0.49869955	2.7738094
282	282	1451617084679473233	0.21579665	2.2488377
283	283	1451617120987426392	0.6737563	-1.036177
293	293	1451617347218623258	0.37657776	1.4634151
296	296	1451617391438719335	0.07260294	3.1102965
299	299	1451617444597460694	0.2606762	2.9807353
306	306	1451617580681756479	0.39902678	-1.1021146
312	312	1451617810938232596	0.58964986	1.5618123
322	322	1451618203368883076	0.10151837	0.92367
332	332	1451618438648772782	0.35420343	-1.7110529
336	336	1451618560299139663	0.4872874	-2.2691345
337	337	1451618614439403592	0.5593258	-1.6536416
347	347	1451619109579485783	0.4046167	1.7953957
350	350	1451619214940034262	0.090078324	0.899113
356	356	1451619451237731585	0.47991768	-2.9046822
379	379	1451620175862123540	0.22235952	1.822767
381	381	1451620248415568207	0.6617403	-0.0721517
384	384	1451620427576882631	0.2611819	-0.8240922
394	394	1451620827595930598	0.31336787	-0.41764712
400	400	1451621037776067597	0.4195568	0.00030867182
407	407	1451621197482312349	0.41507775	0.69310457
427	427	1451621997321504171	0.23829654	2.2385385
434	434	1451622107470993666	0.1483547	2.7156703
441	441	1451622256910187226	0.30543244	-2.2055047
444	444	1451622279878515976	0.34370372	-0.4042726
445	445	1451622306744634973	0.33942604	-1.4434987
447	447	1451622386322202197	0.41363826	-2.6661034
463	463	1451622836805665997	0.24917804	-1.8160977
465	465	1451622899261347673	0.48273027	2.9172459
470	470	1451623127520954842	0.22989355	2.3921766
471	471	1451623191680706045	0.22908735	-1.6401066
476	476	1451623419625750398	0.48274645	2.3948598
482	482	1451623563564840024	0.4631328	-2.24475
